country1,country2,n_obs,pearson_r,clayton_theta,lambda_L,gumbel_theta,lambda_U,lambda_L_empirical
IE,DK,87227,0.24464528605982777,0.20930598405021128,0.03645614270447438,1.1633815456597245,0.1855111006289054,0.1662272154075433
IE,NO,87223,0.2995220698594053,0.29799858971391696,0.09768490279320129,1.2180482143739184,0.23338757458952553,0.17725292364136666
IE,SE,87131,0.22486415400999646,0.19317304079413375,0.027647526088355447,1.1467365922035724,0.16975111593985637,0.14805463101113278
IE,FI,87172,0.18960591861360773,0.16677639852822168,0.015667814337073704,1.1308280880424952,0.15412134886037365,0.14179190088333143
IE,EE,86952,0.17104875587506604,0.10333750184011081,0.0012215858912865477,1.1015590950093674,0.1238122252573417,0.10868315123634273
IE,LV,87154,0.1875496817268394,0.14557898319263862,0.008554365704436013,1.1140569906558393,0.13700971987475086,0.10407343660355708
IE,LT,86275,0.20685001789715685,0.1570603134709315,0.012115680105379858,1.132799020034909,0.15608886922117038,0.14779181639040223
IE,PL,87227,0.2456228721787145,0.16329280429392384,0.014338435602589843,1.1541341514624979,0.17682834216334276,0.1382551874355153
IE,CZ,87222,0.22252465668796137,0.15289704346682723,0.010743822353894365,1.1350758263127207,0.15835063326818455,0.1437743636780555
IE,SK,86711,0.11489308048707411,0.2859619948445593,0.08857429013282958,1.1307331343582818,0.15402633326379989,0.0
IE,AT,87227,0.12505547138224146,0.052842715889193426,2.010402626277017e-06,1.0709910836902845,0.08981206001273523,0.11635905078528029
IE,CH,87227,0.26798984826027095,0.14382414972344124,0.008071568424055325,1.1551829628991577,0.1778222016084301,0.1282815545110627
IE,SI,87213,0.007393007250363224,0.10491972957745443,0.0013516188975176205,1.0100063082386792,0.013687209743129536,0.0
IE,HR,52176,0.031229003989312477,0.012922658530898353,5.072920535457037e-24,1.0218806154907216,0.02946428951043556,0.10252970486776543
IE,HU,87226,0.06987364806135286,0.032135483111027936,4.2901582512769383e-10,1.0361767764606082,0.04781972005407309,0.10604149948412243
IE,RO,87108,0.06797981059391224,0.05431717256629152,2.8702664231303327e-06,1.033677553831012,0.0446597523541179,0.11491218000229594
IE,BG,87225,0.07313187568889437,0.049682705689466186,8.728709604000465e-07,1.0368492037358328,0.048666454151339966,0.11018115111213024
IE,RS,26009,0.011587507337521518,0.010006640426076843,8.25993905129866e-31,1.0100063082386792,0.013687209743129536,0.11457131872356786
IE,GR,87191,0.14002611695344083,0.10057963069341075,0.0010163612791469728,1.0823514319069383,0.10274403337642646,0.12168826700309669
IE,IT,87178,0.12992497924856347,0.05267554689621368,1.928431298790902e-06,1.0714365206051295,0.0903259581447533,0.09818765771966047
GB,FR,86359,0.4898359371163508,0.4398895978192529,0.2068565183686323,1.392474210655595,0.3549332146183213,0.21317739694302917
GB,BE,86378,0.64402729641767,0.7368922072091232,0.39037955856511614,1.681343420068793,0.48977606156288656,0.2799259087751794
GB,NL,86378,0.6028040779072763,0.6809926628406708,0.3613716907981708,1.6247950830657851,0.46795122652613563,0.2780736281546654
GB,LU,86378,0.45568260087168744,0.3762118962487367,0.15843066425350666,1.3512158316178309,0.32973823835485283,0.18221810604306551
GB,DE,86378,0.5524091547496291,0.5458937739087856,0.2809025788594599,1.4897314756949451,0.4075347259289128,0.22169483676777033
GB,DK,86376,0.41343995524744065,0.3604287457795309,0.14615048385613735,1.319823857912057,0.3092341682604052,0.18094466311646215
GB,NO,86374,0.4113206704715554,0.3515106380884147,0.13919081190068228,1.3039711326842678,0.29840447695193695,0.1952066689822855
GB,SE,86281,0.3331514945690954,0.2518177145221694,0.0637634498583924,1.2275655918175241,0.24116466506564893,0.1644645340751043
GB,FI,86323,0.26089822064849794,0.19102118979467472,0.02655226394404094,1.1757343188619453,0.1968339126057428,0.1489805375347544
GB,EE,86102,0.24514086584268893,0.14387079103794514,0.008084189286795149,1.1480502705509799,0.17101658023113298,0.13112659698025553
GB,LV,86293,0.26836619329544736,0.16179739648294506,0.013786794126405173,1.160756251475428,0.18306436414506955,0.10128635994900916
GB,LT,85425,0.31206345168165694,0.17970775527124228,0.021129608943506777,1.1960382890892556,0.21479019638320263,0.14085001756234633
GB,PL,86378,0.3595118189117704,0.21453148563105434,0.039518707013096385,1.2356832638523043,0.2476768246283425,0.13753183607316508
GB,CZ,86373,0.29807117443992814,0.2155240523662648,0.04011113592265005,1.1913410566908513,0.21070632688168778,0.1413685307398402
GB,SK,85851,0.10182305029577994,0.2728424456822054,0.07882959190731201,1.1485265946852048,0.1714744916605282,0.0
GB,AT,86378,0.1457114600723845,0.06970075151112828,4.798531187817948e-05,1.080709779882148,0.1008974608148705,0.11333642046770086
GB,CH,86378,0.35667618614912155,0.19299411986445986,0.02755570760050233,1.2171968789155452,0.23268429407384938,0.13463764760361194
GB,SI,86358,-0.020420773703837325,0.09588048502455641,0.000725040378589055,1.0100063082386792,0.013687209743129536,0.0
GB,HR,51375,0.05779268523027256,0.02168627861204107,1.3148391496417131e-14,1.0409489802223315,0.05379743625331046,0.10492505353319058
GB,HU,86377,0.08219946492217257,0.04845028967161082,6.121075584791925e-07,1.039124219427835,0.05152036578205155,0.11403102570039361
GB,RO,86256,0.09330430998400364,0.07454118116480804,9.152953040495535e-05,1.048415399743288,0.06300476642084307,0.1220728031532576
GB,BG,86376,0.09848228572670882,0.06739628509927006,3.415335755429156e-05,1.0504679374202384,0.06550539087681173,0.1098633943042371
GB,RS,25113,0.011563940434389536,0.010006640426076843,8.25993905129866e-31,1.0100063082386792,0.013687209743129536,0.10593389088012745
GB,GR,86342,0.16430724412208483,0.0870952100897855,0.00034967743661671057,1.0940841781778181,0.1157290228756489,0.11779013203613621
GB,IT,86328,0.16815474527574645,0.07710051195450258,0.00012462814317539637,1.0963910165257755,0.11823906120598004,0.10669601482854495
FR,BE,87653,0.767053762900229,0.9540194605396912,0.4835722467460918,1.9927854086251944,0.5840108825263615,0.3294224854767058
FR,NL,87653,0.617596089685512,0.7653934793536293,0.4042956167503787,1.629759913817368,0.46994097463403084,0.3092607358469074
FR,LU,87653,0.8139090468037026,1.25077425702356,0.5745463617430366,2.2730588804497693,0.6434560306612316,0.3868322132361317
FR,DE,87653,0.5881374057823819,0.6723576298772347,0.35667853111428177,1.5526092851522566,0.4372607863951241,0.3060713065269393
FR,DK,87651,0.30207151974002233,0.22554509231229686,0.046272433678640285,1.197481195765957,0.21603639582946133,0.1628887116983711
FR,NO,87649,0.3867804357929228,0.45558191479287413,0.21839398920083286,1.3127613736086268,0.30445030971926257,0.21724766461608566
FR,SE,87556,0.255607380942789,0.27673877785398876,0.08170023315620213,1.1785208005857852,0.19934561566596232,0.18254420992584142
FR,FI,87598,0.27664152855530644,0.3104525478732527,0.10723857201963653,1.2044634313364995,0.2220124591746182,0.18561643835616437
FR,EE,87377,0.20101507646217504,0.12781464816756308,0.004413596987789241,1.1164229962238437,0.1394645946144839,0.12767173391244713
FR,LV,87570,0.230336009603372,0.14666445338052633,0.008861184584123022,1.132797922497992,0.15608777607206337,0.09421449805625429
FR,LT,86701,0.297053298091489,0.2102876261714584,0.03702409939080806,1.1881724720782014,0.2079279333029722,0.14349930843706776
FR,PL,87653,0.35750721814708986,0.3090884882046271,0.10618710915884058,1.2518434062587016,0.2603200014037097,0.18669552340813306
