country1,country2,r,p,ci_low,ci_high,n,n_eff,autocorr1,p_corrected,significant
BE,SE,0.17170951922031238,6.100244496180197e-59,0.15131098794807704,0.19196186777496133,8759,55.777327704957735,0.9873445861123119,1.2621195509338338e-58,True
BE,SI,,,,,8759,55.777327704957735,0.9873445861123119,,False
BE,SK,0.2382261329860982,2.838161098203626e-113,0.2183729611697093,0.2578821898084148,8759,55.777327704957735,0.9873445861123119,8.514483294610877e-113,True
BE,UK_gridwatch,0.6902397646849001,0.0,0.6791140112754158,0.7010484459207771,8759,55.777327704957735,0.9873445861123119,0.0,True
BG,CH,0.0781643227067189,2.3796107110767375e-13,0.05731549275190541,0.09894500646580442,8759,124.42274377369152,0.9719876567034034,3.215690150103699e-13,True
BG,CZ,0.14207267042998137,1.0021377635850396e-40,0.12149150005274932,0.16253173057851766,8759,124.42274377369152,0.9719876567034034,1.9027932219969108e-40,True
BG,DE,0.11134941977430243,1.432118191105782e-25,0.09061808322282652,0.1319842922982631,8759,124.42274377369152,0.9719876567034034,2.334975311585514e-25,True
BG,DK,,,,,8759,124.42274377369152,0.9719876567034034,,False
BG,EE,0.08580274783121827,8.700233956186281e-16,0.06497685355667389,0.10655393070808566,8759,124.42274377369152,0.9719876567034034,1.2548414359884059e-15,True
BG,ES,0.10526911379595527,5.178706139610783e-23,0.0845127782981029,0.12593413117511762,8759,124.42274377369152,0.9719876567034034,8.220168475572672e-23,True
BG,FI,,,,,8759,124.42274377369152,0.9719876567034034,,False
BG,FR,0.0642210656076559,1.790316147741526e-09,0.04333669811129881,0.08504933130044459,8759,124.42274377369152,0.9719876567034034,2.325085906157826e-09,True
BG,GR,0.32457845383884415,5.369158458830676e-214,0.30571390091133516,0.3431882734402648,8759,124.42274377369152,0.9719876567034034,2.4041008024614968e-213,True
BG,HR,0.2762681859715194,3.2841449199719693e-153,0.2568113888581634,0.29550113239540304,8759,124.42274377369152,0.9719876567034034,1.1591099717548128e-152,True
BG,HU,0.21273120817153499,3.464896074156068e-90,0.1926468262343646,0.23263742574921442,8759,124.42274377369152,0.9719876567034034,8.590651423527441e-90,True
BG,IE,0.03109582475332165,0.015184254216277645,0.005996603021492013,0.05615589081270428,6096,124.42274377369152,0.9719876567034034,0.016445040667448712,True
BG,LT,0.04019559181379352,0.0001679743548408337,0.019269159035740044,0.061086822384331774,8759,124.42274377369152,0.9719876567034034,0.00019307397108141806,True
BG,LU,0.06322746963462461,3.1706319376135105e-09,0.04234088175379217,0.08405881667044204,8759,124.42274377369152,0.9719876567034034,4.064912740530142e-09,True
BG,LV,-0.04462335690619722,2.9438900658788206e-05,-0.06550479421371723,-0.02370285436887092,8759,124.42274377369152,0.9719876567034034,3.463400077504495e-05,True
BG,NL,0.05134979420180602,1.5222737148380618e-06,0.030439875671575106,0.07221478795158134,8759,124.42274377369152,0.9719876567034034,1.8489154431231518e-06,True
BG,NO,0.16590115019024,4.349862662192172e-55,0.14546389785669614,0.18619687943221197,8759,124.42274377369152,0.9719876567034034,8.877270739167698e-55,True
BG,PL,0.09486659327309852,5.720935280941232e-19,0.07407110103904387,0.11557961812041898,8759,124.42274377369152,0.9719876567034034,8.538709374539152e-19,True
BG,PT,0.08485056337628256,1.800914100814258e-15,0.06402167603421402,0.10560555633120017,8759,124.42274377369152,0.9719876567034034,2.5727344297346543e-15,True
BG,RO,0.7212174065821918,0.0,0.7110140559767418,0.7311171164151679,8759,124.42274377369152,0.9719876567034034,0.0,True
BG,RS,0.036174913394654985,0.0007086301884686333,0.015243808482322336,0.05707432756093785,8759,124.42274377369152,0.9719876567034034,0.0007962136949085767,True
BG,SE,0.15716399183219654,1.48991325886361e-49,0.13667118200132955,0.1775223428841312,8759,124.42274377369152,0.9719876567034034,2.8837030816715027e-49,True
BG,SI,,,,,8759,124.42274377369152,0.9719876567034034,,False
BG,SK,0.12084627037245933,7.42069396412009e-30,0.10015709852034987,0.14143098455764025,8759,124.42274377369152,0.9719876567034034,1.264891016611379e-29,True
BG,UK_gridwatch,0.058916685367444564,3.428964408534596e-08,0.03802094473489348,0.079760924219174,8759,124.42274377369152,0.9719876567034034,4.2507823246296646e-08,True
CH,CZ,0.43898977331520395,0.0,0.42192614445405846,0.45574250769548524,8759,177.62611738840613,0.9602476113344854,0.0,True
CH,DE,0.5003981444729819,0.0,0.4845332368765236,0.5159339827716295,8759,177.62611738840613,0.9602476113344854,0.0,True
CH,DK,,,,,8759,177.62611738840613,0.9602476113344854,,False
CH,EE,0.20600232601752852,1.4358868033150044e-84,0.18586152276864978,0.2259700914613192,8759,177.62611738840613,0.9602476113344854,3.418778103130963e-84,True
CH,ES,0.22359344077549098,1.1353134880257821e-99,0.20360419230448865,0.24339635686591743,8759,177.62611738840613,0.9602476113344854,3.068414832502114e-99,True
CH,FI,,,,,8759,177.62611738840613,0.9602476113344854,,False
CH,FR,0.6498827007402036,0.0,0.637618201929205,0.6618178360386172,8759,177.62611738840613,0.9602476113344854,0.0,True
CH,GR,0.030333034422922747,0.004524062270276509,0.009396349892441494,0.05124313560565887,8759,177.62611738840613,0.9602476113344854,0.005045422606256331,True
CH,HR,-0.021935507218178857,0.04008346204352894,-0.042858472163494234,-0.0009933099310510804,8759,177.62611738840613,0.9602476113344854,0.042641980897371215,True
CH,HU,0.15725097416888809,1.3170436661270207e-49,0.13675870152775751,0.17760871738579487,8759,177.62611738840613,0.9602476113344854,2.5656694794682223e-49,True
CH,IE,0.205989033068203,2.0825502338647357e-59,0.1818253726264753,0.2299040723671826,6096,177.62611738840613,0.9602476113344854,4.338646320551533e-59,True
CH,LT,0.27433602927135664,5.1090625802384496e-151,0.2548576153538681,0.29359190214461167,8759,177.62611738840613,0.9602476113344854,1.7822311326413195e-150,True
CH,LU,0.5802596507172525,0.0,0.5661975296357746,0.59398410442742,8759,177.62611738840613,0.9602476113344854,0.0,True
CH,LV,0.21360483058236893,6.251087318138883e-91,0.19352791481349038,0.23350292008498508,8759,177.62611738840613,0.9602476113344854,1.5627718295347205e-90,True
CH,NL,0.40274597546496926,0.0,0.3850510617872633,0.4201448878295303,8759,177.62611738840613,0.9602476113344854,0.0,True
CH,NO,0.22065673577773148,4.681953170388098e-97,0.20064127310389807,0.24048806096265943,8759,177.62611738840613,0.9602476113344854,1.232092939575815e-96,True
CH,PL,0.3302500002593762,6.488874570887014e-222,0.3114615114468472,0.34878038015640644,8759,177.62611738840613,0.9602476113344854,2.949488441312279e-221,True
CH,PT,0.16912738512864908,3.276976961920811e-57,0.14871146399941965,0.1893991912944877,8759,177.62611738840613,0.9602476113344854,6.733514305316735e-57,True
CH,RO,0.08311340935957458,6.652479090239345e-15,0.06227915981911237,0.10387525609669457,8759,177.62611738840613,0.9602476113344854,9.32590526669067e-15,True
CH,RS,-0.04844903825420346,5.72390267969764e-06,-0.06932135484421567,-0.02753432239214696,8759,177.62611738840613,0.9602476113344854,6.841317943861721e-06,True
CH,SE,0.16158945408662573,2.5637977105395203e-52,0.141124381191709,0.18191648194540247,8759,177.62611738840613,0.9602476113344854,5.1275954210790405e-52,True
CH,SI,,,,,8759,177.62611738840613,0.9602476113344854,,False
CH,SK,0.288740008422392,8.605535393662033e-168,0.26942657244867085,0.3078212723378597,8759,177.62611738840613,0.9602476113344854,3.309821305254628e-167,True
CH,UK_gridwatch,0.31487518071493237,7.686010385844988e-201,0.29588367932129833,0.33361785083732104,8759,177.62611738840613,0.9602476113344854,3.34174364601956e-200,True
CZ,DE,0.7768240735032321,0.0,0.7683820409789228,0.7849958204780326,8759,61.39864402602075,0.9860780342240868,0.0,True
CZ,DK,,,,,8759,61.39864402602075,0.9860780342240868,,False
CZ,EE,0.30534019977665616,2.1937936181812524e-188,0.28622786864561034,0.32420965130759904,8759,61.39864402602075,0.9860780342240868,9.140806742421885e-188,True
CZ,ES,0.1539647668984076,1.323465384626484e-47,0.13345242139208732,0.1743452562892045,8759,61.39864402602075,0.9860780342240868,2.5451257396663153e-47,True
CZ,FI,,,,,8759,61.39864402602075,0.9860780342240868,,False
CZ,FR,0.4276373626513431,0.0,0.4103699251205996,0.4445982560032004,8759,61.39864402602075,0.9860780342240868,0.0,True
CZ,GR,0.00026165567274099964,0.9804659583963915,-0.0206811112563918,0.021204193080286062,8759,61.39864402602075,0.9860780342240868,0.9804659583963915,False
CZ,HR,-0.0843321297393615,2.6672488073046717e-15,-0.10508918128341356,-0.06350162881442077,8759,61.39864402602075,0.9860780342240868,3.774408689582083e-15,True
CZ,HU,0.4560972716781117,0.0,0.4393512516601624,0.47252640636152765,8759,61.39864402602075,0.9860780342240868,0.0,True
CZ,IE,0.2653633773274455,9.072550943142185e-99,0.24187073422267014,0.288545091896765,6096,61.39864402602075,0.9860780342240868,2.4301475740559424e-98,True
CZ,LT,0.4541803710836841,0.0,0.43739813578157366,0.47064635786921327,8759,61.39864402602075,0.9860780342240868,0.0,True
CZ,LU,0.5054620557451767,0.0,0.48970326216465376,0.52089070785966,8759,61.39864402602075,0.9860780342240868,0.0,True
CZ,LV,0.25254738691497225,1.6051293174416784e-127,0.23283620690876958,0.27205115855400575,8759,61.39864402602075,0.9860780342240868,5.0688294235000375e-127,True
CZ,NL,0.4862738357607126,0.0,0.4701188084018318,0.5021031390304183,8759,61.39864402602075,0.9860780342240868,0.0,True
CZ,NO,0.23631434404587215,1.925627544063702e-111,0.2164428769451111,0.25599009003351136,8759,61.39864402602075,0.9860780342240868,5.719685774446639e-111,True
CZ,PL,0.7021774927925318,0.0,0.6914022269826664,0.7126404408972404,8759,61.39864402602075,0.9860780342240868,0.0,True
CZ,PT,0.1319113375815284,2.6803496354938854e-35,0.11127609235827365,0.1524328841445449,8759,61.39864402602075,0.9860780342240868,4.903078601513205e-35,True
CZ,RO,0.12934375917915714,5.42394028130736e-34,0.10869554022482346,0.14988041647710884,8759,61.39864402602075,0.9860780342240868,9.685607645191713e-34,True
CZ,RS,-0.10019356671664485,5.488048732167515e-21,-0.12088257010510225,-0.07941755649562589,8759,61.39864402602075,0.9860780342240868,8.486673297166262e-21,True
CZ,SE,0.26836309726768287,2.3538543266926156e-144,0.2488188642516104,0.2876888716925011,8759,61.39864402602075,0.9860780342240868,7.759959318766865e-144,True
CZ,SI,,,,,8759,61.39864402602075,0.9860780342240868,,False
CZ,SK,0.5599084199420277,0.0,0.5453606478938446,0.5741189727902279,8759,61.39864402602075,0.9860780342240868,0.0,True
CZ,UK_gridwatch,0.3624714448824003,3.3526674699510863e-270,0.34414120637984474,0.3805254861724941,8759,61.39864402602075,0.9860780342240868,1.676333734975543e-269,True
DE,DK,,,,,8759,24.43442926869365,0.9944362471273716,,False
DE,EE,0.33338165808576303,2.3289899811791107e-226,0.3146357588133989,0.35186760843450154,8759,24.43442926869365,0.9944362471273716,1.0749184528518972e-225,True
DE,ES,0.2152053933800203,2.6590775243358158e-92,0.1951422403932833,0.23508850964944614,8759,24.43442926869365,0.9944362471273716,6.818147498296963e-92,True
DE,FI,,,,,8759,24.43442926869365,0.9944362471273716,,False
DE,FR,0.5979317676217356,0.0,0.5843059555666427,0.6112205476752388,8759,24.43442926869365,0.9944362471273716,0.0,True
DE,GR,-0.004933665960723782,0.6443134080962785,-0.02587364619214606,0.01601064192527977,8759,24.43442926869365,0.9944362471273716,0.6530203460435254,False
DE,HR,-0.08875209165430167,8.685264330169387e-17,-0.10949123342813209,-0.0679357104507288,8759,24.43442926869365,0.9944362471273716,1.2648443199275808e-16,True
DE,HU,0.2651185320782352,8.329543411791e-141,0.2455391821371807,0.28448166224849264,8759,24.43442926869365,0.9944362471273716,2.7161554603666305e-140,True
DE,IE,0.3315065960545306,2.7130053948506883e-156,0.3089740087105365,0.3536672414273992,6096,24.43442926869365,0.9944362471273716,9.806043595845862e-156,True
DE,LT,0.46089479036014236,0.0,0.4442401021246696,0.47723103820576135,8759,24.43442926869365,0.9944362471273716,0.0,True
DE,LU,0.6837569121236254,0.0,0.6724434361419457,0.6947509515305845,8759,24.43442926869365,0.9944362471273716,0.0,True
DE,LV,0.29819018203865755,2.3955286900165367e-179,0.27898979001633056,0.3171522535333793,8759,24.43442926869365,0.9944362471273716,9.582114760066147e-179,True
DE,NL,0.7873201603428207,0.0,0.7792258290115507,0.7951518935894591,8759,24.43442926869365,0.9944362471273716,0.0,True
DE,NO,0.38076129652453317,3.234269217660126e-300,0.36271095518926055,0.39852604290865923,8759,24.43442926869365,0.9944362471273716,1.732644223746496e-299,True
DE,PL,0.6857220190883362,0.0,0.67446525219085,0.6966600500731732,8759,24.43442926869365,0.9944362471273716,0.0,True
DE,PT,0.18644463285606627,2.406516860980777e-69,0.16615073896680577,0.2065806622329689,8759,24.43442926869365,0.9944362471273716,5.193921282692325e-69,True
DE,RO,0.11282819567318454,3.250461668001797e-26,0.0921031746726473,0.13345550435167872,8759,24.43442926869365,0.9944362471273716,5.328625685248848e-26,True
DE,RS,-0.11111452486118535,1.8092216653914071e-25,-0.13175059049030438,-0.09038219360718575,8759,24.43442926869365,0.9944362471273716,2.9338729709049845e-25,True
DE,SE,0.31333851590589457,8.403067541993508e-199,0.2943272791153445,0.3321018705391307,8759,24.43442926869365,0.9944362471273716,3.550591919152187e-198,True
DE,SI,,,,,8759,24.43442926869365,0.9944362471273716,,False
DE,SK,0.4085872988955533,0.0,0.3909903111739942,0.4258856902686382,8759,24.43442926869365,0.9944362471273716,0.0,True
DE,UK_gridwatch,0.5718713691828604,0.0,0.55760689680546,0.5857982082067955,8759,24.43442926869365,0.9944362471273716,0.0,True
DK,EE,,,,,8759,,,,False
DK,ES,,,,,8759,,,,False
DK,FI,,,,,8759,,,,False
DK,FR,,,,,8759,,,,False
DK,GR,,,,,8759,,,,False
DK,HR,,,,,8759,,,,False
DK,HU,,,,,8759,,,,False
DK,IE,,,,,6096,,,,False
DK,LT,,,,,8759,,,,False
DK,LU,,,,,8759,,,,False
DK,LV,,,,,8759,,,,False
DK,NL,,,,,8759,,,,False
DK,NO,,,,,8759,,,,False
DK,PL,,,,,8759,,,,False
DK,PT,,,,,8759,,,,False
DK,RO,,,,,8759,,,,False
DK,RS,,,,,8759,,,,False
DK,SE,,,,,8759,,,,False
DK,SI,,,,,8759,,,,False
DK,SK,,,,,8759,,,,False
DK,UK_gridwatch,,,,,8759,,,,False
EE,ES,0.04522651919454009,2.2927378801388585e-05,0.024306888186055645,0.06610655908774547,8759,57.36216886494661,0.9869873383678539,2.707958126148258e-05,True
EE,FI,,,,,8759,57.36216886494661,0.9869873383678539,,False
EE,FR,0.1627973806604869,4.369662285611342e-53,0.1423400224339209,0.18311571785795994,8759,57.36216886494661,0.9869873383678539,8.797977756264447e-53,True
EE,GR,0.05065185168889495,2.1073149244782137e-06,0.029740746600994038,0.07151863944881386,8759,57.36216886494661,0.9869873383678539,2.5389336439496553e-06,True
