pair,optimal_lag_hours,max_correlation
GR-UK_gridwatch,27.0,0.08245982220514622
HR-HU,10.0,0.2643911487247268
HR-IE,-12.0,0.05045273109981021
HR-LT,38.0,0.03986600548531196
HR-LU,48.0,0.04026085589502778
HR-LV,35.0,0.0032667365821806506
HR-NL,48.0,0.046279117312025865
HR-NO,8.0,0.08362060765688224
HR-PL,28.0,0.00039028337395650774
HR-PT,-48.0,0.07315000670883903
HR-RO,-18.0,0.3132903036517731
HR-RS,0.0,0.14272681653728134
HR-SE,2.0,0.04076019025882971
HR-SI,-48.0,0.0
HR-SK,35.0,0.052273568342957225
HR-UK_gridwatch,48.0,0.03381218973559592
HU-IE,-26.0,0.15359167959798734
HU-LT,24.0,0.2586357331728279
HU-LU,22.0,0.24049290001571358
HU-LV,-48.0,0.12597646133556145
HU-NL,25.0,0.255220757544476
HU-NO,-23.0,0.15319051263973046
HU-PL,1.0,0.37124323611008225
HU-PT,-48.0,0.04286820470459096
HU-RO,-14.0,0.28405799154002837
HU-RS,-5.0,0.08518518675852371
HU-SE,-48.0,0.18526890497352894
HU-SI,-48.0,0.0
HU-SK,1.0,0.5240101742984005
HU-UK_gridwatch,34.0,0.19071662711598433
IE-LT,42.0,0.17783000997745005
IE-LU,-11.0,0.406134333030365
IE-LV,48.0,0.21842277713738703
IE-NL,-11.0,0.4529628213221447
IE-NO,-44.0,0.18880187099413048
IE-PL,-31.0,0.2468242928408363
IE-PT,48.0,0.13151441434213704
IE-RO,-48.0,0.04052586949826631
IE-RS,-6.0,-0.07611564356346058
IE-SE,46.0,0.10496242878597867
IE-SI,-48.0,0.0
IE-SK,-48.0,0.1939937744809889
IE-UK_gridwatch,-8.0,0.7149401293840222
LT-LU,-2.0,0.2953786787158208
LT-LV,0.0,0.7046470088212122
LT-NL,21.0,0.34024833474621524
LT-NO,18.0,0.2979399916814055
LT-PL,2.0,0.7121554427675596
LT-PT,-4.0,0.08968136571074183
LT-RO,45.0,0.13524900588800068
LT-RS,-31.0,-0.009808115769250485
LT-SE,2.0,0.4701101094205218
LT-SI,-48.0,0.0
LT-SK,-1.0,0.3007167955865262
LT-UK_gridwatch,24.0,0.27652232317654285
LU-LV,9.0,0.2256185266774771
LU-NL,1.0,0.6644233774554262
LU-NO,1.0,0.2561099456066258
LU-PL,-15.0,0.4007544229539135
LU-PT,-5.0,0.22157851230787542
LU-RO,-46.0,0.13143981605571986
LU-RS,47.0,0.025742316176674725
LU-SE,24.0,0.21466358551254996
LU-SI,-48.0,0.0
LU-SK,-16.0,0.29011229202278127
LU-UK_gridwatch,5.0,0.49495419980256616
LV-NL,20.0,0.27316071830914573
