country1,country2,best_copula,clayton_cvm,gumbel_cvm,gaussian_cvm,clayton_lambda_L,empirical_lambda_L,gumbel_lambda_U,gaussian_rho,n_obs
BE,SI,clayton,0.0011368997972891447,0.0012462784177131364,0.0013444652162209621,9.597042459453486e-07,0.0,0.013687209743129536,0.0068889397297320605,87652
BE,SK,clayton,0.016396181464286314,0.017336385257178705,0.016932242106212407,0.1679183888909056,0.0,0.2277364424827173,0.26654083765501885,87145
BG,CH,gumbel,3.410292546628612e-05,1.1569876417635746e-05,1.3108145299918375e-05,1.6241970208342328e-06,0.06462284958094398,0.057814376831446745,0.07483681005208094,87670
BG,CZ,gaussian,3.68105675317566e-05,1.6156522960200066e-05,6.550550844801676e-06,0.00010309645458148087,0.05912199426428414,0.06395786396183922,0.10223983271942776,87665
BG,DE,gaussian,1.9818477545190487e-05,1.6659862993512112e-05,4.053991988058019e-06,1.0771725139907594e-05,0.05734450816056462,0.041783465473806736,0.07302909902214991,87670
BG,DK,gaussian,9.798493508931878e-06,1.4263805724905137e-05,3.267574534068128e-06,5.983536017429404e-07,0.06285840317600352,0.02537323113990264,0.051004231040668355,87668
BG,EE,gaussian,1.9542917256319026e-05,5.1507181205202775e-06,3.8095482705335402e-06,1.7175722179585096e-07,0.05229337469532462,0.04576327339839925,0.06357103087556007,87394
BG,ES,gumbel,4.439285592620953e-05,9.874489437840924e-06,1.6112438397868305e-05,3.108665196234827e-08,0.04081182439885286,0.07140132863371473,0.08535745213126127,87647
BG,FI,gaussian,2.4388868293631776e-05,5.846707362918288e-06,3.071080578290663e-06,1.4280743758346185e-06,0.05513895015438906,0.054468418934838336,0.07585847306765682,87615
BG,FR,gaussian,3.812836729394693e-05,1.6247789215096496e-05,7.622170800344646e-06,2.225564940780254e-06,0.039479488310542564,0.05346288670823829,0.07974280449994926,87651
BG,GB,gaussian,4.149246534291885e-05,1.58339745282816e-05,6.797336784639863e-06,3.415335755429156e-05,0.05442783850100379,0.06550539087681173,0.09260926466270167,86376
BG,GR,gaussian,0.0001528648741260635,2.790035573018676e-05,1.6753435144229813e-05,0.09244200593637805,0.12246248896734334,0.2176470417253218,0.2848678291546118,87634
BG,HR,gaussian,0.00012047554388976802,3.1020845790295234e-05,7.460590773882923e-06,0.09186480962937471,0.1376425855513308,0.20135148839116246,0.27494373572752084,52606
BG,HU,gaussian,3.463158479855036e-05,8.215557229623795e-06,7.81279485582806e-06,0.0011420336318908042,0.07168063520070578,0.08792448304562739,0.12059336793825601,87669
BG,IE,gaussian,1.7430296797252842e-05,5.593231995272049e-06,1.5086980609351021e-06,8.728709604000465e-07,0.05075354609929078,0.048666454151339966,0.07095504029647966,87225
BG,IT,gumbel,0.00013166079431047836,1.0712728477883895e-05,1.3087698092073657e-05,0.07444378077675728,0.12373180414644905,0.21260496394676576,0.27887009370968396,87620
BG,LT,gaussian,1.400912270446816e-05,1.442875112986483e-05,5.718282429057969e-06,3.96034974901571e-06,0.0655110310670869,0.035040552345352305,0.058317471819639755,86717
BG,LU,gaussian,2.6639444842355697e-05,9.375828054417038e-06,7.364939007045196e-06,9.880198636411251e-13,0.052712836347595944,0.03487367045552969,0.04811016635371888,87670
BG,LV,gaussian,0.00013201111600330225,0.00016500788504023674,0.00012853804674031532,1.621283609612793e-05,0.10370697263901148,0.025845842216458248,0.0480411899699343,87585
BG,NL,gumbel,7.579995583035577e-06,1.8451377182768791e-06,1.942701376553058e-06,8.25993905129866e-31,0.0423467137185708,0.02029212711217454,0.02594847378635661,87670
BG,NO,gaussian,2.8862908791160834e-05,8.597873344018534e-06,4.135188514648969e-06,5.9890699607628696e-05,0.06263784737538597,0.0668601929225976,0.09375967761831767,87666
BG,PL,gaussian,2.571841859000817e-05,1.9982543426242512e-05,4.541779511371554e-06,0.0003581540275739662,0.07785619761799735,0.059789926518921455,0.09504652893105678,87670
BG,PT,gumbel,3.580858447466501e-05,7.806986319490053e-06,1.1852233944883078e-05,8.25993905129866e-31,0.040361711513012793,0.04480566107660833,0.04944634229573495,87670
BG,RO,gumbel,0.0008351677189748987,6.470244411930091e-05,0.0001658864142953954,0.5314991900158833,0.28773168578993824,0.549857675274767,0.694364149213694,87548
BG,RS,gumbel,0.0003424888937564879,0.00031345158895319607,0.0003152559291517768,4.591826173263939e-06,0.0,0.07090374980043146,0.08101960373411625,26303
BG,SE,gaussian,3.124857381690969e-05,7.342820883689751e-06,3.3158064076691786e-06,0.00018355299816080514,0.05337450374944861,0.07712521855072962,0.10493561468728983,87573
BG,SI,gaussian,0.0009244315876484276,0.0009146503783220808,0.0008510732139995781,0.0031516528244093876,0.0,0.07709690938715408,0.11097194549404726,87650
BG,SK,gaussian,0.017684277757082617,0.018557082404487137,0.01751985616116991,1.5283038760566306e-05,0.0,0.0153995932233153,0.03854382509148516,87143
CH,CZ,gumbel,0.00036680748676383066,3.2169065934773656e-05,7.744827997990507e-05,0.10308025987789703,0.07778030475324084,0.2723097490715056,0.33221457332078,87667
CH,DE,gumbel,0.0004998045057429343,2.5720724881970723e-05,0.00011536419965591253,0.15625102998886606,0.10184132757444873,0.33315386157010063,0.40322207213735206,87672
CH,DK,gumbel,0.00014409128314542798,5.784407934292285e-06,2.8367381183201057e-05,0.01217735219142573,0.06342350534212321,0.1752859477078874,0.21488929074834387,87670
CH,EE,gumbel,5.3737962460561726e-05,6.945277305701029e-06,1.6362511675641703e-05,0.00025002049386321757,0.07655283062113225,0.10068796309517469,0.12507160483664714,87396
CH,ES,gumbel,0.0001484687789799954,4.7021591735961796e-06,2.440183625359687e-05,0.050264525557583754,0.09433962264150944,0.20407115572923495,0.2579881910581555,87649
CH,FI,gumbel,0.00014292310390872541,2.0543921457049975e-05,2.4706348762299805e-05,0.025390290519104394,0.07939035486806187,0.17025202780242332,0.22443902215776138,87617
CH,FR,gumbel,0.0010585310028159239,4.0840422517157914e-05,0.00023918747350308402,0.35343075984424227,0.15026142305069334,0.4830789084574687,0.5719007577668953,87653
CH,GB,gumbel,0.00027685615949718826,3.083191971783357e-05,9.04380982407013e-05,0.02755570760050233,0.07378190255220418,0.23268429407384938,0.27537709109712394,86378
CH,GR,gumbel,6.108328229389155e-05,6.1132583693309845e-06,1.3473067184295629e-05,0.0009500313819649284,0.06228688338258695,0.10583672409860001,0.13998495429252714,87636
