year,month,month_name,n_countries,n_samples,min,max,mean,std,cv_aggregate,cv_individual_mean,cv_reduction
2016,11,Nov,27,717,15244.087500000001,74208.285,38407.945299860534,12167.591294716418,0.3167988081559937,0.7291677919694959,56.553373360017154
2016,12,Dec,27,726,14151.9,72334.6925,39228.718811983475,14382.492503076654,0.3666317162181481,0.7513356142069303,51.20267037984816
2017,1,Jan,27,738,14559.1125,77075.04500000001,39162.63422086721,14799.628272784423,0.3779017567949673,0.7353792237816416,48.61130902616052
2017,2,Feb,27,666,18394.782499999998,79435.95749999999,47019.99369744745,14971.345986865963,0.31840382802260364,0.7354659291911605,56.70719534584383
2017,3,Mar,27,739,14464.569999999998,73856.5375,42934.33573410013,11417.872420748055,0.2659380243230253,0.7366695410969402,63.899956563016104
2017,4,Apr,27,711,16179.065000000002,68453.53499999999,36610.91913150492,11337.47080907805,0.3096745746358981,0.7679735362498901,59.67640029003116
2017,5,May,27,725,9306.560000000001,60043.040000000015,27969.625296551723,8219.717535790296,0.29388014493006726,0.8806819450301447,66.6303883497909
2017,6,Jun,27,712,8199.455,67581.42499999999,31744.304554073035,12918.988392953515,0.40697027622537446,0.7891152332754913,48.42701559110627
2017,7,Jul,27,732,9736.28,49517.805,27705.23911202186,8315.60943883936,0.30014573796733807,0.7691610839008794,60.97751898144428
2017,8,Aug,27,722,10087.865000000002,57203.835,27657.381395429362,8805.376794632146,0.31837348115998126,0.7588222317997275,58.04373306184206
2017,9,Sep,27,699,8932.695,75401.44500000002,31352.662067238914,16466.806802319326,0.5252123971803292,0.7996153873923473,34.31687215360911
2017,10,Oct,27,726,14031.859999999999,87106.8375,46324.947899449035,14703.003021790377,0.3173884416169035,0.6919855634590555,54.13366139744862
2017,11,Nov,27,681,16108.494999999999,81871.31,44360.926071953014,14626.837718243161,0.3297234528990347,0.6856206364315423,51.908761875204014
2017,12,Dec,27,695,20138.735,90292.7675,57571.961384892085,17973.961059834874,0.312199908210033,0.6148620951992592,49.224401593847155
2018,1,Jan,27,733,21533.5775,97642.33000000003,55732.22371077763,19326.809059798437,0.3467797940397087,0.6850318202555002,49.37756410930396
2018,2,Feb,27,658,13107.925000000001,84115.17249999999,42847.87718844984,15577.577756917113,0.36355541462194624,0.7076282135794038,48.62338617294952
2018,3,Mar,27,711,19986.382500000003,91177.95249999997,51177.42165963431,15295.322259202023,0.29886855889158753,0.6713627244341469,55.48329568885633
2018,4,Apr,27,699,15114.252499999999,70227.8175,39789.90484263233,13234.316136830645,0.3326048702345959,0.7256769856971821,54.16626449644792
2018,5,May,27,721,9598.925000000001,54394.5925,29504.464902912623,9372.835498030332,0.3176751562474554,0.7426888875182361,57.22634853080992
2018,6,Jun,27,712,7060.799999999998,65454.33750000001,27670.96719452247,11727.2690632393,0.42381131750106443,0.8343075691089076,49.202028940751276
2018,7,Jul,27,692,7587.727500000002,40107.99000000001,21049.123352601157,6924.042303774396,0.32894682537544984,0.8131883700387453,59.548508378227694
2018,8,Aug,27,690,8743.590000000002,56994.39500000002,27581.13251811594,9257.279791282415,0.33563813179904833,0.8065417169102693,58.38552119971876
2018,9,Sep,27,690,9389.5825,77794.92250000002,35961.71104710145,14942.480755797811,0.4155108397435997,0.8158433076204481,49.069774077633745
2018,10,Oct,27,691,8791.61,92056.46,46231.476566570185,18263.355620658713,0.39504158155884816,0.6837084275436648,42.22075293439045
2018,11,Nov,27,687,21291.620000000003,89210.34,46928.54401382824,15095.598709462352,0.3216720021190982,0.7316790678659809,56.03646239911052
2018,12,Dec,27,713,17521.1975,102055.3925,53615.54633590463,17072.9380290622,0.3184326038962508,0.7185937364768147,55.68669921094909
2019,1,Jan,28,743,22773.32,101648.35750000003,56873.86381561238,18830.46817163841,0.3310917688428491,0.6957525182731337,52.412422499795916
2019,2,Feb,28,671,25367.745000000003,91635.56750000002,52139.076523845004,15107.591403438757,0.2897556383939699,0.640156493803545,54.73674934196765
2019,3,Mar,28,740,24251.460000000006,101889.0775,61601.02964527027,22059.936139698933,0.35810986060997924,0.6345380271348395,43.56368802245467
2019,4,Apr,28,720,14647.702500000003,79862.89249999999,42317.721996527776,12539.068510042249,0.2963077386602023,0.6827563896498323,56.60124999896805
2019,5,May,28,744,14762.925,76034.9625,38196.17056451613,10331.427955796064,0.27048334435373633,0.7256934568866911,62.72760326183162
2019,6,Jun,28,714,14458.735000000002,69358.93500000001,32144.761130952378,10380.156634603416,0.3229190782384848,0.7818256862958631,58.69679342867179
2019,7,Jul,28,743,9691.562500000002,60071.49500000001,29714.599885598924,9185.304074406044,0.30911754187400886,0.8065986792735376,61.676413584954624
2019,8,Aug,28,714,8375.155,70381.48999999999,30267.00776377218,12227.251789994618,0.4039795372382306,0.8900303344872705,54.610587798565824
2019,9,Sep,28,719,15068.070000000003,70253.6675,41484.90248609179,12330.390490783504,0.2972259726274489,0.761510116866364,60.96887407740002
2019,10,Oct,28,741,17351.235000000004,79973.88500000001,45524.34223684211,13998.414924249504,0.30749296390538106,0.8558721042700654,64.07255682580893
2019,11,Nov,28,718,24228.210000000003,86670.8475,53488.20822423399,15521.367326569647,0.29018297381547653,0.6355686696872225,54.34278188094419
